season,zone,LST_C
Winter,Rural,29.83200000000003
Winter,Rural,30.770000000000028
Winter,Rural,31.299000000000035
Winter,Rural,31.76700000000003
Winter,Rural,33.44800000000002
Winter,Rural,33.85900000000003
Winter,Rural,33.362500000000026
Winter,Rural,32.76350000000003
Winter,Rural,30.650000000000034
Winter,Rural,31.543000000000035
Winter,Rural,31.985000000000024
Winter,Rural,32.32400000000003
Winter,Rural,32.32200000000003
Winter,Rural,32.002000000000024
Winter,Rural,32.01400000000003
Winter,Rural,32.943000000000026
Winter,Rural,33.767000000000024
Winter,Rural,33.99350000000003
Winter,Rural,33.99000000000003
Winter,Rural,33.79200000000003
Winter,Rural,33.52800000000003
Winter,Rural,29.149500000000035
Winter,Rural,29.64050000000002
Winter,Rural,31.301500000000022
Winter,Rural,32.38200000000002
Winter,Rural,32.897000000000034
Winter,Rural,33.12400000000004
Winter,Rural,32.552000000000035
Winter,Rural,33.81700000000004
Winter,Rural,33.84900000000002
Winter,Rural,33.623000000000026
Winter,Rural,33.13700000000004
Winter,Rural,29.120000000000026
Winter,Rural,29.869000000000028
Winter,Rural,32.30100000000002
Winter,Rural,32.83800000000001
Winter,Rural,33.10600000000003
Winter,Rural,33.35150000000004
Winter,Rural,32.77450000000003
Winter,Rural,32.32600000000003
Winter,Rural,33.07250000000003
Winter,Rural,33.68150000000003
Winter,Rural,33.748500000000014
Winter,Rural,33.95650000000003
Winter,Rural,33.76950000000003
Winter,Rural,33.10550000000003
Winter,Rural,32.20250000000003
Winter,Rural,28.16550000000003
Winter,Rural,29.038500000000028
Winter,Rural,32.92150000000003
Winter,Rural,33.14800000000002
Winter,Rural,33.064000000000036
Winter,Rural,33.39450000000003
Winter,Rural,33.202000000000034
Winter,Rural,33.51050000000002
Winter,Rural,33.878000000000014
Winter,Rural,33.70100000000003
Winter,Rural,33.11350000000004
Winter,Rural,32.24450000000003
Winter,Rural,31.087000000000025
Winter,Rural,27.714500000000033
Winter,Rural,28.416500000000024
Winter,Rural,30.779500000000024
Winter,Rural,32.10000000000004
Winter,Rural,32.66600000000002
Winter,Rural,33.001500000000036
Winter,Rural,33.436000000000035
Winter,Rural,33.014500000000034
Winter,Rural,33.231500000000025
Winter,Rural,33.46500000000003
Winter,Rural,32.91350000000003
Winter,Rural,31.749500000000033
Winter,Rural,30.979500000000037
Winter,Rural,31.292500000000025
Winter,Rural,32.19950000000003
Winter,Rural,32.957000000000036
Winter,Rural,33.38800000000002
Winter,Rural,33.731500000000025
Winter,Rural,33.748000000000026
Winter,Rural,33.03300000000003
Winter,Rural,33.17400000000003
Winter,Rural,33.17500000000002
Winter,Rural,32.08800000000004
Winter,Rural,31.216500000000035
Winter,Rural,30.867000000000026
Winter,Rural,30.65050000000003
Winter,Rural,30.14150000000003
Winter,Rural,30.957500000000028
Winter,Rural,31.889000000000028
Winter,Rural,32.634000000000036
Winter,Rural,33.30150000000003
Winter,Rural,33.316000000000024
Winter,Rural,33.33300000000003
Winter,Rural,33.521500000000046
Winter,Rural,33.32450000000003
Winter,Rural,32.27300000000003
Winter,Rural,31.363500000000027
Winter,Rural,30.693000000000023
Winter,Rural,30.16500000000003
Winter,Rural,29.75250000000002
Winter,Rural,29.845000000000027
Winter,Rural,30.48350000000003
Winter,Rural,31.785000000000032
Winter,Rural,33.28250000000003
Winter,Rural,33.53250000000003
Winter,Rural,33.43650000000003
Winter,Rural,32.695500000000024
Winter,Rural,31.648500000000034
Winter,Rural,30.95500000000002
Winter,Rural,30.538000000000032
Winter,Rural,30.21950000000003
Winter,Rural,29.841000000000026
Winter,Rural,30.385000000000037
Winter,Rural,30.632000000000033
Winter,Rural,30.123500000000043
Winter,Rural,29.945000000000032
Winter,Rural,31.985500000000037
Winter,Rural,33.45200000000003
Winter,Rural,33.35400000000003
Winter,Rural,32.79950000000002
Winter,Rural,31.845500000000033
Winter,Rural,30.892000000000017
Winter,Rural,31.075000000000024
Winter,Rural,30.58200000000004
Winter,Rural,30.14150000000003
Winter,Rural,30.93700000000002
Winter,Rural,32.00450000000002
Winter,Rural,32.10400000000004
Winter,Rural,32.91100000000003
