mode,zone,T
Day,Urban,38.30165456000003
Day,Urban,38.40077714000006
Day,Urban,38.906644099999994
Day,Urban,40.16789348000003
Day,Urban,37.73084521999999
Day,Urban,35.99449106000003
Day,Urban,34.09065392000002
Day,Urban,33.65314736000005
Day,Urban,38.920316179999986
Day,Urban,39.193757780000055
Day,Urban,35.4544439
Day,Urban,38.031630980000045
Day,Urban,37.89491018000001
Day,Urban,40.31486834000003
Day,Urban,40.64299826000001
Day,Urban,39.40225700000002
Day,Urban,39.64493642000002
Day,Urban,33.96418718000001
Day,Urban,34.66488128000003
Day,Urban,33.762523999999985
Day,Urban,36.53795624000003
Day,Urban,34.825528220000024
Day,Urban,35.01010130000003
Day,Urban,35.73130351999998
Day,Urban,35.20492844
Day,Urban,33.26007506000002
Day,Urban,33.81379430000004
Day,Urban,34.887052580000045
Day,Urban,36.18590018000003
Day,Urban,33.646311319999995
Day,Urban,34.347005420000016
Day,Urban,36.637078820000056
Day,Urban,33.63263924
Day,Urban,33.82063033999998
Day,Urban,33.52326260000001
Day,Urban,34.53499652000005
Day,Urban,33.19171466
Day,Urban,34.81527416000006
Day,Urban,36.07310552000001
Day,Urban,36.94811864000002
Day,Urban,37.91200028000003
Day,Urban,40.31828636
Day,Urban,35.396337560000006
Day,Urban,34.14876026000002
Day,Urban,35.82700808000004
Day,Urban,33.11651821999999
Day,Urban,37.40613331999998
Day,Urban,39.658608500000014
Day,Urban,40.98480026000004
Day,Urban,40.608818059999976
Day,Urban,37.63514066000005
Day,Urban,35.69712332000006
Day,Urban,37.05749528000001
Day,Urban,37.84705789999998
Day,Urban,37.04382320000002
Day,Urban,33.612131120000015
Day,Urban,34.25471888000004
Day,Urban,35.54673044000003
Day,Urban,34.610192960000006
Day,Urban,34.38118562
Day,Urban,33.530098640000006
Day,Urban,33.201968720000025
Day,Urban,34.88363456000002
Day,Urban,36.67125901999998
Day,Urban,35.560402520000025
Day,Urban,38.328998720000016
Day,Urban,40.43791706000002
Day,Urban,35.037445460000015
Day,Urban,34.203448579999986
Day,Urban,37.17028994000003
Day,Urban,40.94720203999998
Day,Urban,37.918836320000025
Day,Urban,33.78303212000003
Day,Urban,34.64779118000001
Day,Urban,35.91245858000002
Day,Urban,35.81333600000005
Day,Urban,38.15467970000003
Day,Urban,38.94766034000003
Day,Urban,34.65462722000001
Day,Urban,33.41046793999999
Day,Urban,35.034027440000045
Day,Urban,34.40852977999998
Day,Urban,34.94857694000001
Day,Urban,34.41878384000006
Day,Urban,33.83430242000003
Day,Urban,34.049637680000046
Day,Urban,34.68538940000002
Day,Urban,38.10340940000003
Day,Urban,37.0267331
Day,Urban,37.659066800000005
Day,Urban,39.56290394000001
Day,Urban,36.165392060000045
Day,Urban,35.31772310000002
Day,Urban,37.12243766000006
Day,Urban,39.57999404000003
Day,Urban,37.29333866000002
Day,Urban,38.445211400000005
Day,Urban,38.91689816000002
Day,Urban,36.264514640000016
Day,Urban,38.91348014000005
